Block Height|Total Difficulty
1337500|13,669,365,056,271,430,201
1340625|13,756,712,586,371,013,593
1343750|13,845,918,826,166,327,541
1346875|13,935,512,965,564,554,665
1350000|14,026,384,460,746,022,752
1353125|14,112,897,166,412,049,536
1356250|14,203,006,778,138,875,401
1359375|14,295,131,689,566,482,212
1362500|14,388,153,300,385,615,882
1365625|14,482,506,412,619,424,307
1368750|14,574,846,677,703,039,586
1371875|14,668,941,071,324,228,552
1375000|14,764,501,899,531,558,620
1378125|14,861,570,335,269,460,923
1381250|14,955,262,397,402,492,762
1384375|15,047,508,466,207,595,650
1387500|15,143,462,711,403,217,907
1390625|15,240,257,558,476,015,724
1393750|15,336,363,639,520,711,263
1396875|15,431,666,108,446,387,244
1400000|15,526,850,738,960,151,412
1403125|15,626,882,033,490,138,080
1406250|15,726,159,999,173,479,965
1409375|15,824,329,383,298,847,776
1412500|15,920,392,595,656,686,290
1415625|16,018,751,884,822,857,594
1418750|16,119,066,456,131,943,774
1421875|16,218,471,243,588,363,919
1425000|16,320,139,285,934,995,329
1428125|16,422,559,924,938,418,601
1431250|16,526,186,372,115,681,929
1434375|16,633,084,819,056,844,108
1437500|16,740,985,462,896,619,882
1440625|16,847,854,383,073,553,831
1443750|16,946,461,907,630,495,012
1446875|17,050,626,268,073,082,359
1450000|17,157,058,370,454,415,782
1453125|17,264,599,021,595,143,065
1456250|17,370,943,525,996,641,960
1459375|17,477,092,610,189,712,457
1462500|17,582,302,087,619,053,391
1465625|17,689,056,140,712,640,533
1468750|17,795,149,887,977,485,631
1471875|17,901,864,606,713,442,972
1475000|18,009,231,846,283,565,755
1478125|18,114,993,270,584,383,041
1481250|18,223,230,664,252,890,306
1484375|18,331,792,195,761,662,851
1487500|18,440,965,159,393,832,270
1490625|18,551,784,289,676,157,056
1493750|18,663,174,868,473,118,372
1496875|18,774,018,870,273,877,407
1500000|18,882,255,392,111,970,731
1503125|18,986,421,730,389,170,255
1506250|19,097,786,827,701,028,656
1509375|19,211,347,128,338,842,031
1512500|19,327,516,650,033,180,444
1515625|19,444,185,790,934,178,476
1518750|19,557,907,524,291,231,626
1521875|19,672,369,446,919,802,459
1525000|19,789,991,346,788,575,252
1528125|19,907,138,188,994,056,678
1531250|20,022,923,842,228,801,085
1534375|20,135,805,561,683,424,958
1537500|20,251,981,611,161,429,423
1540625|20,369,536,447,934,740,241
1543750|20,490,030,548,022,828,016
1546875|20,612,918,915,504,696,051
1550000|20,738,301,175,874,131,714
1553125|20,863,426,712,273,865,635
1556250|20,989,389,963,469,217,367
1559375|21,117,451,543,823,956,759
1562500|21,240,550,442,951,381,122
1565625|21,366,517,768,677,700,243
1568750|21,492,431,348,347,328,634
1571875|21,619,126,706,702,107,171
1575000|21,747,386,460,366,876,621
1578125|21,875,283,901,149,180,749
1581250|22,002,793,402,994,517,565
1584375|22,131,858,055,221,852,532
1587500|22,262,321,547,455,345,519
1590625|22,393,587,818,726,492,406
1593750|22,522,145,869,458,278,992
1596875|22,654,422,397,944,003,448
1600000|22,788,382,747,929,300,930
1603125|22,921,453,458,008,106,777
1606250|23,057,832,905,537,845,875
1609375|23,194,167,285,422,210,605
1612500|23,329,112,359,191,858,314
1615625|23,465,132,921,352,336,302
1618750|23,601,631,646,217,818,072
1621875|23,735,156,041,674,227,542
1625000|23,866,139,877,609,322,689
1628125|23,998,985,000,512,750,978
1631250|24,131,889,558,488,298,073
1634375|24,270,856,250,126,285,615
1637500|24,412,114,745,668,375,146
1640625|24,552,194,278,436,381,851
1643750|24,692,880,109,644,244,502
1646875|24,832,983,447,764,205,070
1650000|24,973,855,378,100,322,082
1653125|25,111,330,784,605,170,394
1656250|25,254,444,370,644,556,414
1659375|25,400,436,266,944,868,301
1662500|25,543,955,632,256,287,682
1665625|25,688,146,939,715,625,353
1668750|25,830,185,007,775,039,612
1671875|25,977,648,487,564,431,050
1675000|26,130,027,867,688,881,363
1678125|26,279,042,417,964,768,882
1681250|26,423,664,571,442,374,764
1684375|26,566,747,737,573,748,466
1687500|26,716,356,201,622,578,290
1690625|26,863,567,926,050,687,341
1693750|27,012,832,119,880,266,912
1696875|27,164,125,609,845,837,847
1700000|27,320,701,792,411,996,410
1703125|27,477,124,970,520,686,930
1706250|27,631,300,856,627,036,045
1709375|27,785,829,327,855,068,204
1712500|27,941,654,222,265,070,298
1715625|28,096,248,259,649,687,884
1718750|28,253,155,182,374,837,329
1721875|28,404,340,972,249,013,088
1725000|28,548,755,633,877,843,560
1728125|28,690,969,320,010,108,039
1731250|28,838,198,713,781,629,937
1734375|28,993,801,368,439,178,285
1737500|29,155,243,532,403,522,641
1740625|29,314,876,227,885,741,762
1743750|29,470,481,960,457,074,767
1746875|29,627,758,417,550,633,633
1750000|29,782,379,436,959,350,941
1753125|29,944,034,248,390,979,545
1756250|30,111,047,866,472,440,548
1759375|30,278,515,378,379,788,589
1762500|30,440,916,276,068,906,513
1765625|30,608,411,729,175,608,014
1768750|30,775,626,351,281,207,423
1771875|30,942,403,586,138,323,450
1775000|31,110,529,186,219,503,594
1778125|31,279,581,692,125,122,557
1781250|31,450,717,387,067,525,463
1784375|31,625,126,351,642,017,396
1787500|31,799,297,009,739,997,861
1790625|31,974,462,479,810,060,743
1793750|32,145,513,829,271,058,503
1796875|32,317,079,517,398,508,367
1800000|32,490,908,997,790,651,565
1803125|32,658,740,230,474,062,640
1806250|32,831,994,070,107,614,429
1809375|33,010,140,120,215,039,719
1812500|33,186,814,130,193,977,865
1815625|33,361,925,602,331,581,462
1818750|33,545,304,733,477,096,014
1821875|33,724,199,530,437,368,118
1825000|33,902,760,573,156,558,622
1828125|34,088,118,750,315,680,903
1831250|34,270,602,817,824,203,331
1834375|34,446,857,587,336,501,322
1837500|34,625,616,047,303,866,643
1840625|34,804,396,515,242,540,589
1843750|34,986,238,658,723,775,166
1846875|35,167,821,527,743,024,052
1850000|35,348,299,396,236,806,653
1853125|35,523,225,953,562,977,955
1856250|35,700,816,686,484,184,978
1859375|35,884,125,434,985,217,209
1862500|36,066,482,537,400,587,325
1865625|36,250,063,052,564,566,539
1868750|36,436,892,742,093,529,822
1871875|36,624,092,044,948,685,738
1875000|36,809,376,054,657,369,059
1878125|36,994,034,957,366,859,062
1881250|37,184,913,784,442,514,126
1884375|37,372,629,001,151,378,997
1887500|37,557,694,701,344,033,014
1890625|37,742,723,763,879,472,911
1893750|37,923,551,519,554,715,001
1896875|38,107,272,613,207,366,943
1900000|38,291,182,099,919,059,094
1903125|38,477,733,448,576,275,572
1906250|38,662,621,840,761,131,542
1909375|38,848,326,205,654,852,602
1912500|39,042,040,995,614,609,948
1915625|39,229,583,645,484,637,395
1918750|39,416,071,392,114,959,300
1921875|39,598,957,855,846,037,854
1925000|39,780,113,939,944,397,935
1928125|39,969,564,848,962,928,562
1931250|40,157,955,882,779,862,598
1934375|40,343,373,974,143,887,277
1937500|40,531,265,373,901,355,111
1940625|40,722,877,864,356,137,384
1943750|40,917,633,336,812,724,118
1946875|41,103,020,633,287,943,187
1950000|41,284,178,677,506,150,734
1953125|41,466,263,079,475,613,370
1956250|41,651,623,654,551,536,965
1959375|41,817,259,031,835,155,945
1962500|41,974,917,508,554,273,873
1965625|42,143,688,319,281,167,512
1968750|42,316,275,106,827,177,151
1971875|42,493,462,768,251,769,491
1975000|42,663,097,061,887,144,787
1978125|42,836,799,290,363,669,581
1981250|43,007,111,007,160,072,233
1984375|43,177,087,918,526,965,645
1987500|43,346,875,582,954,744,300
1990625|43,517,498,481,830,934,772
1993750|43,688,957,272,461,197,722
1996875|43,853,212,406,051,880,718
2000000|44,010,101,827,705,409,388
2003125|44,162,509,130,619,366,300
2006250|44,314,751,474,305,528,934
2009375|44,468,935,994,813,651,433
2012500|44,632,433,456,534,962,054
2015625|44,797,249,425,700,246,968
2018750|44,965,417,799,306,621,941
2021875|45,133,411,820,983,108,324
2025000|45,296,633,667,181,507,823
2028125|45,461,346,745,188,018,516
2031250|45,632,030,722,961,736,058
2034375|45,801,461,943,140,933,349
2037500|45,974,980,357,866,229,599
2040625|46,150,008,187,490,197,833
2043750|46,331,969,089,462,945,630
2046875|46,514,204,429,071,751,321
2050000|46,700,731,014,249,002,974
2053125|46,887,643,449,279,059,879
2056250|47,077,027,803,965,129,135
2059375|47,264,574,130,320,567,076
2062500|47,451,293,205,511,636,727
2065625|47,637,332,957,085,587,865
2068750|47,824,703,497,275,650,108
2071875|48,011,385,110,618,721,952
2075000|48,197,979,368,127,358,953
2078125|48,382,359,892,237,333,286
2081250|48,573,686,895,662,600,298
2084375|48,764,932,582,442,052,862
2087500|48,960,657,202,411,332,663
2090625|49,150,659,983,301,502,217
2093750|49,341,028,116,708,978,773
2096875|49,531,434,058,415,128,109
2100000|49,729,941,225,877,270,320
2103125|49,922,679,468,090,981,191
2106250|50,118,055,643,429,053,752
2109375|50,318,615,550,081,433,577
2112500|50,515,233,917,839,792,545
2115625|50,712,999,853,871,493,413
2118750|50,911,535,834,687,718,640
2121875|51,115,881,133,725,302,013
2125000|51,319,821,854,673,163,134
2128125|51,526,795,196,045,897,189
2131250|51,732,360,493,905,937,255
2134375|51,936,501,122,925,789,004
2137500|52,145,946,229,229,128,541
2140625|52,359,408,159,536,743,443
2143750|52,578,810,363,121,501,139
2146875|52,795,502,594,439,319,046
2150000|53,010,642,915,023,399,516
2153125|53,228,113,383,594,999,534
2156250|53,443,337,828,071,129,889
2159375|53,658,971,414,969,034,095
2162500|53,870,842,816,208,553,117
2165625|54,081,444,348,910,547,421
2168750|54,295,009,459,214,445,268
2171875|54,509,323,125,852,849,509
2175000|54,724,478,603,380,212,800
2178125|54,945,737,953,776,966,690
2181250|55,166,760,136,160,285,698
2184375|55,385,517,784,052,333,347
2187500|55,604,286,586,503,461,217
2190625|55,822,761,571,623,859,305
2193750|56,034,672,054,255,619,311
2196875|56,241,357,352,921,821,268
2200000|56,446,798,895,696,776,890
2203125|56,656,717,989,598,743,919
2206250|56,869,393,725,223,275,152
2209375|57,082,811,987,511,442,778
2212500|57,295,182,592,531,576,195
2215625|57,505,739,328,980,866,316
2218750|57,724,622,716,968,563,341
2221875|57,939,206,319,777,294,987
2225000|58,152,271,398,969,385,649
2228125|58,363,614,840,095,005,541
2231250|58,579,840,992,468,522,060
2234375|58,798,241,501,451,985,468
2237500|59,015,483,525,322,284,111
2240625|59,237,734,614,407,003,109
2243750|59,461,430,315,220,953,036
2246875|59,682,430,628,814,881,098
2250000|59,908,827,031,473,656,084
2253125|60,133,468,391,224,375,350
2256250|60,355,901,331,752,595,155
2259375|60,583,682,070,552,181,426
